Наименование,ISIN,Валюта,Количество_нп,Номинал_нп,Цена_нп,Стоимость_нп,НКД_нп,Количество_кп,Номинал_кп,Цена_кп,Стоимость_кп,НКД_кп,Количество_изп,Стоимость_изп,Зачисления,Списания,Остаток,Дата
FXDEETF,IE00BD3QJN10,RUB,118,1,29.95,3534.10,0,118,1,30.02,3542.36,0,0,8.26,0,0,118,2022-01-31
FXDMETF,IE00BMDKNM37,RUB,89,1,80.07,7126.23,0,89,1,79.92,7112.88,0,0,-13.35,0,0,89,2022-01-31
FXGDETF,IE00B8XB7377,RUB,2,1,901,1802.00,0,2,1,932.6,1865.20,0,0,63.20,0,0,2,2022-01-31
FXIMETF,IE00BNC2D728,RUB,30,1,104.64,3139.20,0,37,1,97.59,3610.83,0,7,471.63,0,0,37,2022-01-31
FXRLETF,IE00BQ1Y6480,RUB,170,1,41.625,7076.25,0,187,1,39.42,7371.54,0,17,295.29,0,0,187,2022-01-31
FXRUETF,IE00BD5FH213,RUB,3,1,948.2,2844.60,0,3,1,933.1,2799.30,0,0,-45.30,0,0,3,2022-01-31
FXRWETF,IE00BK224M36,RUB,1035,1,1.3566,1404.08,0,1100,1,1.279,1406.90,0,65,2.82,0,0,1100,2022-01-31
FXUSETF,IE00BD3QHZ91,RUB,300,1,65.21,19563.00,0,345,1,62.36,21514.20,0,45,1951.20,0,0,345,2022-01-31
SBSPETF,RU000A1006W1,RUB,4,1,1901,7604.00,0,4,1,1827,7308.00,0,0,-296.00,0,0,4,2022-01-31
VTBEETF,RU000A100HQ5,RUB,78,1,90.69,7073.82,0,78,1,92.97,7251.66,0,0,177.84,0,0,78,2022-01-31
БПИФбрутто,RU000A0ZZH92,RUB,370,1,19.281,7133.97,0,410,1,18.19,7457.90,0,40,323.93,0,0,410,2022-01-31
FXDEETF,IE00BD3QJN10,RUB,118,1,30.02,3542.36,0,124,1,25.55,3168.20,0,6,-374.16,0,0,124,2022-02-28
FXDMETF,IE00BMDKNM37,RUB,89,1,79.92,7112.88,0,92,1,74.53,6856.76,0,3,-256.12,0,0,92,2022-02-28
FXGDETF,IE00B8XB7377,RUB,0,1,0,0.00,0,22,1,91.45,2011.90,0,22,2011.90,0,0,22,2022-02-28
FXGDETF_old,IE00B8XB7377,RUB,2,1,932.6,1865.20,0,0,1,932.2,0.00,0,-2,-1865.20,0,0,0,2022-02-28
FXIMETF,IE00BNC2D728,RUB,37,1,97.59,3610.83,0,39,1,93.53,3647.67,0,2,36.84,0,0,39,2022-02-28
FXRLETF,IE00BQ1Y6480,RUB,187,1,39.42,7371.54,0,192,1,30.555,5866.56,0,5,-1504.98,0,0,192,2022-02-28
FXRUETF,IE00BD5FH213,RUB,0,1,0,0.00,0,43,1,71.43,3071.49,0,43,3071.49,0,0,43,2022-02-28
FXRUETF_old1,IE00BD5FH213,RUB,3,1,933.1,2799.30,0,0,1,932.9,0.00,0,-3,-2799.30,0,0,0,2022-02-28
FXRWETF,IE00BK224M36,RUB,1100,1,1.279,1406.90,0,1135,1,1.093,1240.56,0,35,-166.34,0,0,1135,2022-02-28
FXUSETF,IE00BD3QHZ91,RUB,345,1,62.36,21514.20,0,350,1,58.13,20345.50,0,5,-1168.70,0,0,350,2022-02-28
SBSPETF,RU000A1006W1,RUB,4,1,1827,7308.00,0,5,1,1774.6,8873.00,0,1,1565.00,0,0,5,2022-02-28
VTBEETF,RU000A100HQ5,RUB,78,1,92.97,7251.66,0,81,1,91.24,7390.44,0,3,138.78,0,0,81,2022-02-28
БПИФбрутто,RU000A0ZZH92,RUB,410,1,18.19,7457.90,0,417,1,12.944,5397.65,0,7,-2060.25,0,0,417,2022-02-28
25084,RU000A101FA1,RUB,30,1000,98.852,29655.60,514.2,30,1000,98.67,29601.00,636,0,-54.60,0,0,30,2023-02-28
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-02-28
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-02-28
БПИФбрутто,RU000A0ZZH92,RUB,470,1,12.186,5727.42,0,470,1,12.356,5807.32,0,0,79.90,0,0,470,2023-02-28
25084,RU000A101FA1,RUB,30,1000,98.67,29601.00,636,33,1000,98.834,32615.22,848.1,3,3014.22,0,0,33,2023-03-31
